index,name,name_zh,sector,sector_zh,payload_sector,settings_hash,biome_en,biome_zh,hazards_zh,max_health,initial_owner,initial_owner_zh,pos_x,pos_y,region_count,regions
178,HALDUS,,Ferris,费里斯,25,3856827013,Basic Swamp,原始沼泽,,1000000,1,超级地球,0.45897943,-0.45897192,0,
179,HALIES PORT,,Leo,,25,386932878,Boneyard,骸骨场,,1000000,1,超级地球,0.4808474,-0.5826475,0,
180,HERTHON SECUNDUS,,Ferris,费里斯,25,2517847560,Scorched Moor,焦灼荒原,火焰龙卷,1800000,1,超级地球,0.27001774,-0.5880387,3,PENSCEWT | EAGLE'S LIKENESS | CONSENSUS
181,HESOE PRIME,,Rigel,,25,1581052380,Icy Glaciers,冰川,暴风雪,1000000,1,超级地球,0.3589587,-0.73933494,0,
182,HEZE BAY,,Hanzo,,26,4182360890,Desert Dunes,沙漠沙丘,沙暴,1800000,1,超级地球,0.04742095,-0.64221954,2,UNANIMITY | UNISON
183,HORT,,Rigel,,26,2078192573,Plains,平原,,2200000,1,超级地球,0.2510076,-0.69129366,3,ON-EARSAHOU | CLOCKSTOP | MAGNITUDE
184,HYDROBIUS,,Omega,,43,1722929190,Desert Cliffs,沙漠峭壁,地震活动,1400000,1,超级地球,-0.04842106,-0.70721954,1,GENERATORSVILLE
185,KARLIA,,Omega,,43,101839064,Scorched Moor,焦灼荒原,火焰龙卷,1400000,1,超级地球,-0.1330078,-0.6602936,1,ADNAN
186,KEID,,Akira,,27,2563880739,Desert Dunes,沙漠沙丘,沙暴,1000000,1,超级地球,-0.2649589,-0.6723349,0,
187,KHANDARK,,Guang,,28,1697634205,Haunted Swamp,阴魂沼泽,,1000000,1,超级地球,-0.37284753,-0.5306474,0,
188,KLAKA 5,,Alstrad,,30,1366049074,Haunted Swamp,阴魂沼泽,,1000000,1,超级地球,-0.5559487,-0.31584743,0,
189,KNETH PORT,,Alstrad,,30,4234355218,Scorched Moor,焦灼荒原,火焰龙卷,1000000,1,超级地球,-0.4953272,-0.4213348,0,
190,KRAZ,,Alstrad,,30,2097290850,Rocky Canyons,岩石峡谷,地震活动,1000000,1,超级地球,-0.6140685,-0.20337197,0,
191,KUMA,,Hawking,,30,3764590020,Rocky Canyons,岩石峡谷,地震活动,1000000,1,超级地球,0.03396134,0.9259823,0,
192,LASTOFE,,Theseus,,16,3052439858,Desert Dunes,沙漠沙丘,沙暴,1000000,1,超级地球,-0.62221956,-0.042420916,0,
193,LENG SECUNDUS,,Quintus,,16,2845725342,Acidic Badlands,酸性荒地,酸雨风暴,1000000,1,超级地球,-0.6862936,-0.25600755,0,
194,LESATH,,Lacaille,,46,3837447591,Boneyard,骸骨场,,1000000,1,超级地球,-0.22899726,0.49906695,4,SERENITY SUMMIT | MORSKIE OKO | CRYSTAL SLOPES | BUCU'S REST
195,MAIA,,Severin,,46,1126502547,Moon,月球,流星风暴,1000000,3,机器人,-0.9272936,-0.04299212,0,
196,MALEVELON CREEK,,Severin,,33,3244992775,Ionic Jungle,离子丛林,离子风暴,1400000,3,机器人,-0.8473348,-0.096041,3,LIFEBLOOD | REQUIEM | DIVER'S REST
197,MANTES,,Xzar,,33,1806559160,Volcanic Jungle,火山丛林,火山活动,1000000,1,超级地球,-0.74603856,-0.03198197,0,
198,MARFARK,,Andromeda,,33,2831860380,Icy Glaciers,冰川,暴风雪,2000000,1,超级地球,-0.43697178,0.3259796,1,TECHNOLOCKIA ALLATEED
199,MARTALE,,Andromeda,,33,2016899055,Tundra,苔原,,1500000,1,超级地球,-0.5379487,0.3338475,2,SONGGUO CUN | XIN FUZHOU
200,MATAR BAY,,Andromeda,,34,2071495162,Plains,平原,,1600000,1,超级地球,-0.4909794,0.4139719,2,PARRHESIA | ISEGORIA
201,MEISSA,,Ymir,,34,996779072,Volcanic Jungle,火山丛林,火山活动,1000000,1,超级地球,-0.5683347,0.4903273,0,
202,MEKBUDA,,Valdis,,34,1982461871,Rocky Canyons,岩石峡谷,地震活动,1000000,1,超级地球,-0.53437203,0.6510685,0,
203,MENKENT,,Hydra,,34,3161413384,Scorched Moor,焦灼荒原,火焰龙卷,1000000,1,超级地球,-0.31501773,0.4560387,0,
204,MERAK,,Valdis,,35,964201429,Ionic Jungle,离子丛林,离子风暴,1000000,1,超级地球,-0.35206652,0.64499736,0,
205,MERGA IV,,Valdis,,35,319528443,Haunted Swamp,阴魂沼泽,,1000000,1,超级地球,-0.32600746,0.7472937,0,
206,MINCHIR,,Gellert,,36,1805868079,Ionic Jungle,离子丛林,离子风暴,1000000,1,超级地球,0.084947325,0.8337918,0,
207,MINTORIA,,Gellert,,36,2174989502,Plains,平原,,1300000,1,超级地球,-0.06005267,0.84179187,2,SEORAKSAN | GYEONGSEONG
208,MORDIA 9,,Hawking,,36,1125831687,Ethereal Jungle,空灵丛林,,1000000,1,超级地球,0.3105063,0.77156365,0,
209,NABATEA SECUNDUS,,L'estrade,,37,2595930801,Basic Swamp,原始沼泽,,1000000,2,终结族,0.7657729,0.5369948,0,
210,NAVI VII,,L'estrade,,37,1644011282,Volcanic Jungle,火山丛林,火山活动,1000000,2,终结族,0.77812827,0.3443502,0,
211,NIVEL 43,,Mirin,,38,301092871,Deadlands,死地,,1000000,2,终结族,0.4889177,0.43328553,0,
212,OSHAUNE,,Mirin,,38,1344035939,Hive World,巢都世界,,1000000,2,终结族,0.633865,0.3955063,0,
213,OVERGOE PRIME,,Sten,,38,2798506372,Ionic Crimson,赤红离子,离子风暴,1000000,2,终结族,0.9115288,0.18509296,0,
214,PANDION-XXIV,,Jin Xi,,39,2529588949,Deadlands,死地,,1000000,1,超级地球,0.7147919,0.06394728,0,
215,PARTION,,Sten,,39,2633633039,Scorched Moor,焦灼荒原,火焰龙卷,1000000,2,终结族,0.8417918,0.10094728,0,
216,PEACOCK,,Sten,,39,3575106066,Ionic Jungle,离子丛林,离子风暴,1300000,2,终结族,0.93316215,0.004525,2,QUASAR | SYZYGY
217,PHACT BAY,,Jin Xi,,39,1050117740,Desert Dunes,沙漠沙丘,沙暴,2200000,1,超级地球,0.7587918,-0.019947395,3,OLD DOVE | BRNO | NEW EAGLE
218,PHERKAD SECUNDUS,,Farsight,,40,1272337220,Basic Swamp,原始沼泽,,1000000,1,超级地球,0.8658252,-0.30003393,0,
219,POLARIS PRIME,,Farsight,,40,1029706994,Desert Cliffs,沙漠峭壁,地震活动,2000000,1,超级地球,0.7575288,-0.351093,3,VILHELMINA DOROTHEA FREDRIKA | MOGO PLAINS | KALASATAMA PORT
220,POLLUX 31,,Farsight,,41,4039961663,Volcanic Jungle,火山丛林,火山活动,1000000,1,超级地球,0.7659177,-0.48228556,0,
221,PRASA,,Farsight,,41,3290149632,Rocky Canyons,岩石峡谷,地震活动,1000000,1,超级地球,0.66399485,-0.5727729,2,HANDAKAS | HAKU CITY
222,PROPUS,,Leo,,41,3795087598,Desert Dunes,沙漠沙丘,沙暴,1000000,1,超级地球,0.58777285,-0.676995,0,
223,RAS ALGETHI,,Leo,,41,4053031948,Tundra,苔原,,1000000,1,超级地球,0.49028546,-0.71661645,0,
224,RD-4,,Rigel,,42,3659425534,Moon,月球,流星风暴,1000000,1,超级地球,0.29350623,-0.8715637,0,
225,ROGUE 5,,Rigel,,42,433678065,Volcanic Jungle,火山丛林,火山活动,1000000,1,超级地球,0.14809287,-0.91152894,0,
226,RIRGA BAY,,Rigel,,42,1377257553,Acidic Badlands,酸性荒地,酸雨风暴,2200000,1,超级地球,0.09694725,-0.7277918,3,BLIGHTSMURK | BASE CAMP 8 | ZONE 3
227,SEASSE,,Omega,,42,264536752,ACCESS DENIED,机密（权限不足）,,1000000,1,超级地球,0.104947254,-0.82979184,0,
228,SENGE 23,,Omega,,43,3709894755,Rocky Canyons,岩石峡谷,地震活动,1300000,1,超级地球,-0.037947383,-0.8437918,2,EXALT | EAGLESTAR ETERNAL
229,SETIA,,Omega,,43,449319042,Haunted Swamp,阴魂沼泽,,1000000,1,超级地球,-0.16047508,-0.85416216,0,
230,SHETE,,Xi Tauri,,27,1531805760,Acidic Badlands,酸性荒地,酸雨风暴,1400000,1,超级地球,-0.31250626,-0.83086497,1,HOLL
231,SIEMNOT,,Xi Tauri,,27,3472221087,Ionic Jungle,离子丛林,离子风暴,1000000,1,超级地球,-0.44250628,-0.76256365,0,
232,SIRIUS,,Xi Tauri,,44,31903659,Moon,月球,流星风暴,1000000,1,超级地球,-0.5732856,-0.6689176,0,
233,SKAT BAY,,Xi Tauri,,44,728004013,Deadlands,死地,,1000000,1,超级地球,-0.48777303,-0.5639948,0,
234,SPHERION,,Quintus,,45,33972203,Volcanic Jungle,火山丛林,火山活动,1000000,1,超级地球,-0.6169949,-0.5607729,0,
235,STOR THA PRIME,,Quintus,,45,3339959103,Boneyard,骸骨场,,1000000,1,超级地球,-0.75561637,-0.5062855,0,
236,STOUT,,Quintus,,45,3478070727,Ionic Crimson,赤红离子,离子风暴,1000000,1,超级地球,-0.6258253,-0.40203378,0,
237,TERMADON,,Quintus,,45,1923795699,Plains,平原,,1000000,1,超级地球,-0.8608651,-0.36050615,0,
238,TIBIT,,Severin,,46,2658611086,Ethereal Jungle,空灵丛林,,1000000,3,机器人,-0.7807918,-0.3289472,0,
239,TIEN KWAN,,Theseus,,46,2659689769,Boneyard,骸骨场,流星风暴,2200000,1,超级地球,-0.6268659,-0.12653387,2,FOUNDRY | STEEL RESOLVE
240,TROOST,,Trigon,,46,1049999007,Deadlands,死地,,1000000,1,超级地球,-0.9021621,0.15547518,0,
241,UBANEA,,Severin,,46,2216912817,Ionic Crimson,赤红离子,离子风暴,1600000,3,机器人,-0.8157918,-0.2170526,2,FREEDOM ETERNAL | NUOVA ROMA
242,USTOTU,,Trigon,,48,260933067,Desert Cliffs,沙漠峭壁,地震活动,1000000,1,超级地球,-0.806865,0.20750636,0,
243,VANDALON IV,,Trigon,,48,230950549,Icy Glaciers,冰川,暴风雪,1000000,1,超级地球,-0.840825,0.06103413,0,
244,VARYLIA 5,,Trigon,,49,17046409,Plains,平原,,1400000,1,超级地球,-0.74635,0.3441284,1,SEQUIM
245,WASAT,,Ymir,,49,3825459240,Acidic Badlands,酸性荒地,酸雨风暴,2000000,1,超级地球,-0.6519177,0.45428553,2,MIRAGE | DRYWELL
246,VEGA BAY,,Ymir,,50,229350423,Icy Glaciers,冰川,暴风雪,1500000,1,超级地球,-0.7952854,0.4969178,3,ONSEN | GIRI | SAPPORO
247,WEZEN,,Ymir,,50,1554138344,Scorched Moor,焦灼荒原,火焰龙卷,1000000,1,超级地球,-0.8741281,0.3473503,0,
248,VINDEMITARIX PRIME,,Valdis,,50,1826401325,Ethereal Jungle,空灵丛林,,1000000,1,超级地球,-0.56103384,0.77082515,0,
249,X-45,,Ymir,,50,2165203458,Basic Swamp,原始沼泽,,1000000,1,超级地球,-0.6895062,0.5908651,0,
250,YED PRIOR,,Tanis,,35,714233297,Ionic Crimson,赤红离子,离子风暴,1000000,1,超级地球,-0.13953374,0.7098659,0,
251,ZEFIA,,Tanis,,35,252504470,Ethereal Jungle,空灵丛林,,1000000,1,超级地球,-0.048947096,0.72179186,0,
252,ZOSMA,,Gellert,,51,2360232252,Moon,月球,流星风暴,1000000,1,超级地球,-0.35552636,0.8833641,0,
253,ZZANIAH PRIME,,Gellert,,51,1524642040,Desert Dunes,沙漠沙丘,沙暴,2000000,1,超级地球,-0.19952635,0.9263641,1,GEMSTELLE GENERATOR
254,SKITTER,,Hawking,,52,3789806846,Haunted Swamp,阴魂沼泽,,1000000,1,超级地球,0.14810903,0.9233154,0,
255,EUPHORIA III,,Hawking,,52,3809134104,Moon,月球,流星风暴,1000000,1,超级地球,0.3191681,0.8730191,0,
256,DIASPORA X,,L'estrade,,53,4020204519,Desert Dunes,沙漠沙丘,沙暴,1000000,2,终结族,0.5267236,0.7475853,0,
257,GEMSTONE BLUFFS,,L'estrade,,53,1588671273,Plains,平原,,1000000,2,终结族,0.6665664,0.6070179,0,
258,ZAGON PRIME,,Mirin,,53,843081973,Hive World,巢都世界,,2000000,2,终结族,0.55758536,0.4887236,0,
259,OMICRON,,L'estrade,,53,3966660905,Hive World,巢都世界,,3000000,2,终结族,0.6838866,0.48672357,0,
260,CYBERSTAN,,Valdis,,49,3923589145,Cyberstan Megafactory,赛博斯坦巨型工厂,,15000000,1,超级地球,-0.438396,0.6977152,8,TRANSCENDENCE | AUTONOMY | STAR KIELD | OMNIPARITUS | SOLIDARITET | URSOOT NINE | LURZA | CAMRAT FOR
261,FURY,,Xzar,,0,3487417548,Magma,熔岩,,2000000,1,超级地球,-0.729,0.172,0,
262,K,K,Trigon,,0,1143730827,Magma,熔岩,,2000000,1,超级地球,-0.657,0.33,0,
264,NEW INSIGHT,,TBD,,0,3117259984,Magma,熔岩,,2000000,1,超级地球,0,0,0,
265,WAYWARD,,TBD,,0,3060137094,Magma,熔岩,,2000000,1,超级地球,0,0,0,
266,MOX,,Trigon,,0,1316898847,Magma,熔岩,,2000000,1,超级地球,-0.766,0.41,0,
267,BIG ROCK,,Sten,,0,3844933373,Desert Oasis,沙漠绿洲,,2000000,1,超级地球,0.944,0.099,0,
268,LUXURIANT,,Jin Xi,,0,1653510998,Deciduous Forest,落叶林,,2000000,1,超级地球,0.874,-0.07,0,
269,BRILLIANCE,,Orion,,0,224163544,Deciduous Forest,落叶林,,2000000,1,超级地球,0.341,0.323,0,
270,FRONTERIA,,Umlaut,,0,2807946366,Desert Oasis,沙漠绿洲,,2000000,1,超级地球,0.502,0.209,0,
271,ZYGOS,,Orion,,0,2871915822,Desert Oasis,沙漠绿洲,,2000000,1,超级地球,0.388,0.211,0,
272,BASQUINE VIII,,Rigel,,0,1367796466,Deciduous Autumn Forest,秋色落叶林,,2000000,1,超级地球,0.272,-0.775,0,
273,ALDERIDGE COVE,,Omega,,43,1616302990,Deadlands,死地,,2000000,1,超级地球,-0.328,-0.381,0,
